,word,frequency,n_characters,romanized_form
很多,很多,2,6,hěnduō
種,種,1,5,zhǒng
地,地,1,2,dì
以,以,1,2,yǐ
認為,認為,2,6,rènwèi
其他,其他,2,4,qítā
向,向,1,5,xiàng
之間,之間,2,7,zhījiān
用,用,1,4,yòng
國家,國家,2,6,guójiā
最,最,1,3,zuì
名,名,1,4,míng
第一,第一,2,4,dìyī
世界,世界,2,6,shìjiè
當,當,1,4,dāng
由,由,1,3,yóu
影響,影響,2,9,yǐngxiǎng
發生,發生,2,7,fāshēng
過,過,1,3,guò
系統,系統,2,6,xìtǒng
作,作,1,3,zuò
很,很,1,3,hěn
內,內,1,3,nèi
成,成,1,5,chéng
獲得,獲得,2,5,huòdé
至,至,1,3,zhì
要,要,1,3,yào
包括,包括,2,6,bāokuò
一直,一直,2,5,yìzhí
因,因,1,3,yīn
元,元,1,4,yuán
最後,最後,2,6,zuìhòu
其中,其中,2,7,qízhōng
方面,方面,2,8,fāngmiàn
同時,同時,2,7,tóngshí
成功,成功,2,9,chénggōng
已,已,1,2,yǐ
進行,進行,2,7,jìnxíng
如果,如果,2,5,rúguǒ
歷史,歷史,2,5,lìshǐ
接受,接受,2,7,jiēshòu
使,使,1,3,shǐ
建立,建立,2,6,jiànlì
可,可,1,2,kě
通過,通過,2,7,tōngguò
中國,中國,2,8,zhōngguó
決定,決定,2,7,juédìng
年代,年代,2,7,niándài
正,正,1,5,zhèng
及,及,1,2,jí
更,更,1,4,gèng
戰爭,戰爭,2,9,zhànzhēng
主要,主要,2,6,zhǔyào
公元,公元,2,8,gōngyuán
能夠,能夠,2,7,nénggòu
總統,總統,2,8,zǒngtǒng
所有,所有,2,6,suǒyǒu
令,令,1,4,lìng
許多,許多,2,5,xǔduō
三,三,1,3,sān
需要,需要,2,5,xūyào
軍隊,軍隊,2,6,jūnduì
提供,提供,2,6,tígōng
之前,之前,2,7,zhīqián
稱,稱,1,5,chēng
導致,導致,2,6,dǎozhì
表示,表示,2,7,biǎoshì
現在,現在,2,7,xiànzài
或,或,1,3,huò
城市,城市,2,8,chéngshì
區域,區域,2,4,qūyù
發現,發現,2,6,fāxiàn
非常,非常,2,8,fēicháng
如,如,1,2,rú
當時,當時,2,7,dāngshí
期間,期間,2,6,qījiān
一些,一些,2,5,yīxiē
希望,希望,2,6,xīwàng
研究,研究,2,6,yánjiū
法國,法國,2,5,fǎguó
六,六,1,3,liù
不是,不是,2,5,búshì
歐,歐,1,2,ōu
由於,由於,2,5,yóuyú
使用,使用,2,7,shǐyòng
一樣,一樣,2,6,yīyàng
新,新,1,3,xīn
德國,德國,2,5,déguó
給,給,1,3,gěi
不同,不同,2,6,bùtóng
人們,人們,2,6,rénmen
發展,發展,2,6,fāzhǎn
經濟,經濟,2,6,jīngjì
只,只,1,3,zhǐ
部分,部分,2,5,bùfèn
比,比,1,2,bǐ
你,你,1,2,nǐ
時間,時間,2,7,shíjiān
特別,特別,2,5,tèbié
出現,出現,2,7,chūxiàn
調查,調查,2,7,diàochá
去,去,1,2,qù
歐洲,歐洲,2,6,ōuzhōu
重要,重要,2,8,zhòngyào
第二,第二,2,4,dìèr
希臘,希臘,2,4,xīlà
它們,它們,2,5,tāmen
四,四,1,2,sì
項,項,1,5,xiàng
政治,政治,2,8,zhèngzhì
只有,只有,2,6,zhǐyǒu
情況,情況,2,9,qíngkuàng
十,十,1,3,shí
根據,根據,2,5,gēnjù
事件,事件,2,7,shìjiàn
問題,問題,2,5,wèntí
約,約,1,3,yuē
技術,技術,2,5,jìshù
處,處,1,3,chù
得,得,1,2,dé
地方,地方,2,6,dìfāng
方法,方法,2,6,fāngfǎ
獨立,獨立,2,4,dúlì
超過,超過,2,7,chāoguò
則,則,1,2,zé
宣布,宣布,2,6,xuānbù
必須,必須,2,4,bìxū
人口,人口,2,6,rénkǒu
數據,數據,2,5,shùjù
事,事,1,3,shì
代表,代表,2,7,dàibiǎo
做,做,1,3,zuò
看到,看到,2,6,kàndào
曾,曾,1,4,céng
未,未,1,3,wèi
看,看,1,3,kàn
關於,關於,2,6,guānyú
一起,一起,2,4,yìqǐ
另,另,1,4,lìng
座,座,1,3,zuò
天,天,1,4,tiān
裡,裡,1,2,lǐ
什麼,什麼,2,6,shénme
要求,要求,2,6,yāoqiú
存在,存在,2,6,cúnzài
所以,所以,2,5,suǒyǐ
才,才,1,3,cái
而且,而且,2,5,érqiě
歲,歲,1,3,suì
隨後,隨後,2,6,suíhòu
條約,條約,2,7,tiáoyuē
提出,提出,2,5,tíchū
生活,生活,2,8,shēnghuó
擁有,擁有,2,7,yōngyǒu
市場,市場,2,8,shìchǎng
計劃,計劃,2,5,jìhuà
水平,水平,2,8,shuǐpíng
南,南,1,3,nán
幫助,幫助,2,7,bāngzhù
想,想,1,5,xiǎng
家,家,1,3,jiā
全球,全球,2,7,quánqiú
最高,最高,2,6,zuìgāo
形成,形成,2,9,xíngchéng
活動,活動,2,7,huódòng
起,起,1,2,qǐ
系列,系列,2,5,xìliè
發布,發布,2,4,fābù
進入,進入,2,5,jìnrù
像,像,1,5,xiàng
投資,投資,2,5,tóuzī
特朗普,特朗普,3,8,tèlǎngpǔ
國際,國際,2,5,guójì
保護,保護,2,5,bǎohù
比賽,比賽,2,5,bǐsài
北部,北部,2,5,běibù
為了,為了,2,5,wèile
管理,管理,2,6,guǎnlǐ
任何,任何,2,5,rènhé
出,出,1,3,chū
原因,原因,2,7,yuányīn
美,美,1,3,měi
天皇,天皇,2,9,tiānhuáng
大,大,1,2,dà
說道,說道,2,7,shuōdào
地中海,地中海,3,10,dìzhōnghǎi
社會,社會,2,6,shèhuì
合作,合作,2,5,hézuò
信息,信息,2,5,xìnxī
例如,例如,2,4,lìrú
就是,就是,2,6,jiùshì
關係,關係,2,6,guānxì
明顯,明顯,2,8,míngxiǎn
顯示,顯示,2,7,xiǎnshì
協議,協議,2,5,xiéyì
至少,至少,2,7,zhìshǎo
投票,投票,2,7,tóupiào
七,七,1,2,qī
帝國,帝國,2,5,dìguó
故事,故事,2,5,gùshì
行動,行動,2,8,xíngdòng
選舉,選舉,2,6,xuǎnjǔ
還是,還是,2,6,háishì
週,週,1,4,zhōu
羅馬,羅馬,2,5,luómǎ
都是,都是,2,6,dōushì
通常,通常,2,9,tōngcháng
屬,屬,1,3,shǔ
下來,下來,2,6,xiàlái
目前,目前,2,6,mùqián
幾乎,幾乎,2,4,jǐhū
組成,組成,2,7,zǔchéng
美洲,美洲,2,7,měizhōu
共同,共同,2,8,gòngtóng
無法,無法,2,4,wúfǎ
妻子,妻子,2,4,qīzǐ
具有,具有,2,5,jùyǒu
行為,行為,2,7,xíngwèi
時代,時代,2,6,shídài
持續,持續,2,5,chíxù
這裡,這裡,2,5,zhèlǐ
聯邦,聯邦,2,8,liánbāng
這樣,這樣,2,7,zhèyàng
繼續,繼續,2,4,jìxù
大陸,大陸,2,4,dàlù
越來越,越來越,3,9,yuèláiyuè
統治,統治,2,7,tǒngzhì
再,再,1,3,zài
平均,平均,2,7,píngjūn
有關,有關,2,7,yǒuguān
學習,學習,2,5,xuéxí
隨,隨,1,3,suí
實際,實際,2,5,shíjì
以前,以前,2,6,yǐqián
最終,最終,2,8,zuìzhōng
寫,寫,1,3,xiě
挑戰,挑戰,2,8,tiāozhàn
最大,最大,2,5,zuìdà
幾,幾,1,2,jǐ
大部分,大部分,3,7,dàbùfèn
解釋,解釋,2,6,jiěshì
自然,自然,2,5,zìrán
自由,自由,2,5,zìyóu
改變,改變,2,7,gǎibiàn
價格,價格,2,5,jiàgé
銀行,銀行,2,7,yínxíng
增長,增長,2,9,zēngzhǎng
目標,目標,2,6,mùbiāo
整個,整個,2,7,zhěnggè
大量,大量,2,7,dàliàng
甚至,甚至,2,7,shènzhì
澳大利亞,澳大利亞,4,8,àodàlìyà
時候,時候,2,6,shíhòu
那些,那些,2,5,nàxiē
又,又,1,3,yòu
飛機,飛機,2,5,fēijī
直接,直接,2,6,zhíjiē
意大利,意大利,3,6,yìdàlì
離開,離開,2,5,líkāi
應該,應該,2,7,yīnggāi
數,數,1,3,shù
資源,資源,2,6,zīyuán
是否,是否,2,6,shìfǒu
土地,土地,2,4,tǔdì
控制,控制,2,7,kòngzhì
擔任,擔任,2,6,dānrèn
告訴,告訴,2,5,gàosù
五,五,1,2,wǔ
人員,人員,2,7,rényuán
每個,每個,2,5,měigè
手機,手機,2,6,shǒujī
似乎,似乎,2,4,sìhū
跟,跟,1,3,gēn
卻,卻,1,3,què
那裡,那裡,2,4,nàlǐ
學校,學校,2,7,xuéxiào
革命,革命,2,6,gémìng
增加,增加,2,7,zēngjiā
埃及,埃及,2,4,āijí
宗教,宗教,2,8,zōngjiào
航空,航空,2,8,hángkōng
進,進,1,3,jìn
不會,不會,2,5,bùhuì
產生,產生,2,9,chǎnshēng
程度,程度,2,7,chéngdù
非,非,1,3,fēi
起來,起來,2,5,qǐlái
第三,第三,2,5,dìsān
西班牙,西班牙,3,7,xībānyá
張,張,1,5,zhāng
衝突,衝突,2,7,chōngtū
均,均,1,3,jūn
責任,責任,2,5,zérèn
音樂,音樂,2,5,yīnlè
完全,完全,2,7,wánquán
共和黨,共和黨,3,10,gònghédǎng
創作,創作,2,9,chuàngzuò
死,死,1,2,sǐ
建議,建議,2,6,jiànyì
附近,附近,2,5,fùjìn
法律,法律,2,4,fǎlǜ
歌曲,歌曲,2,4,gēqǔ
學生,學生,2,8,xuéshēng
導演,導演,2,6,dǎoyǎn
山脈,山脈,2,7,shānmài
且,且,1,3,qiě
本,本,1,3,běn
應用,應用,2,8,yīngyòng
不能,不能,2,6,bùnéng
不斷,不斷,2,6,bùduàn
同樣,同樣,2,8,tóngyàng
知道,知道,2,6,zhīdào
安全,安全,2,6,ānquán
基礎,基礎,2,5,jīchǔ
汽車,汽車,2,5,qìchē
出生,出生,2,8,chūshēng
回到,回到,2,6,huídào
以來,以來,2,5,yǐlái
帶來,帶來,2,6,dàilái
很大,很大,2,5,hěndà
名字,名字,2,6,míngzì
民族,民族,2,5,mínzú
孩子,孩子,2,5,háizi
現代,現代,2,7,xiàndài
出演,出演,2,6,chūyǎn
馬其頓,馬其頓,3,7,mǎqídùn
時期,時期,2,5,shíqī
香港,香港,2,9,xiānggǎng
場,場,1,5,chǎng
國王,國王,2,7,guówáng
鎊,鎊,1,4,bàng
破產,破產,2,6,pòchǎn
或者,或者,2,6,huòzhě
日本,日本,2,5,rìběn
報告,報告,2,6,bàogào
件,件,1,4,jiàn
經常,經常,2,9,jīngcháng
適用,適用,2,7,shìyòng
警方,警方,2,8,jǐngfāng
如此,如此,2,4,rúcǐ
相關,相關,2,9,xiāngguān
等,等,1,4,děng
點,點,1,4,diǎn
道,道,1,3,dào
巴黎,巴黎,2,4,bālí
住,住,1,3,zhù
環境,環境,2,8,huánjìng
氣候,氣候,2,5,qìhòu
變化,變化,2,7,biànhuà
大學,大學,2,5,dàxué
早,早,1,3,zǎo
份,份,1,3,fèn
全,全,1,4,quán
高,高,1,3,gāo
部隊,部隊,2,5,bùduì
支持,支持,2,6,zhīchí
沒,沒,1,3,méi
邊境,邊境,2,8,biānjìng
感到,感到,2,6,gǎndào
北京,北京,2,7,běijīng
建築,建築,2,7,jiànzhù
十分,十分,2,6,shífēn
拒絕,拒絕,2,5,jùjué
放棄,放棄,2,6,fàngqì
全國,全國,2,7,quánguó
再次,再次,2,5,zàicì
教育,教育,2,6,jiàoyù
加拿大,加拿大,3,7,jiānádà
更多,更多,2,7,gèngduō
接,接,1,3,jiē
組織,組織,2,5,zǔzhī
傳統,傳統,2,9,chuántǒng
佔據,佔據,2,6,zhànjù
參與,參與,2,5,cānyǔ
朋友,朋友,2,7,péngyǒu
並且,並且,2,7,bìngqiě
南部,南部,2,5,nánbù
貿易,貿易,2,5,màoyì
賬戶,賬戶,2,7,zhànghù
西班牙語,西班牙語,4,9,xībānyáyǔ
最近,最近,2,6,zuìjìn
的話,的話,2,5,dehuà
另外,另外,2,7,lìngwài
設計,設計,2,5,shèjì
預測,預測,2,4,yùcè
變,變,1,4,biàn
降低,降低,2,7,jiàngdī
試圖,試圖,2,5,shìtú
受,受,1,4,shòu
主義,主義,2,5,zhǔyì
英,英,1,4,yīng
結束,結束,2,6,jiéshù
選擇,選擇,2,6,xuǎnzé
作品,作品,2,6,zuòpǐn
房地產,房地產,3,10,fángdìchǎn
勝利,勝利,2,7,shènglì
健康,健康,2,8,jiànkāng
訓練,訓練,2,7,xùnliàn
出版,出版,2,6,chūbǎn
元素,元素,2,6,yuánsù
家庭,家庭,2,7,jiātíng
理論,理論,2,5,lǐlùn
大約,大約,2,5,dàyuē
討論,討論,2,6,tǎolùn
觀眾,觀眾,2,9,guānzhòng
間,間,1,4,jiān
能力,能力,2,6,nénglì
戲劇,戲劇,2,4,xìjù
好,好,1,3,hǎo
地點,地點,2,6,dìdiǎn
準備,準備,2,7,zhǔnbèi
演出,演出,2,6,yǎnchū
河流,河流,2,5,héliú
大眾,大眾,2,7,dàzhòng
加勒比海,加勒比海,4,10,jiālèbǐhǎi
力量,力量,2,7,lìliàng
每,每,1,3,měi
減少,減少,2,8,jiǎnshǎo
稱呼,稱呼,2,7,chēnghū
工具,工具,2,6,gōngjù
費用,費用,2,7,fèiyòng
地面,地面,2,6,dìmiàn
當然,當然,2,7,dāngrán
喜歡,喜歡,2,6,xǐhuān
債券,債券,2,8,zhàiquàn
負責,負責,2,4,fùzé
墨西哥,墨西哥,3,6,mòxīgē
書,書,1,3,shū
承擔,承擔,2,8,chéngdān
公眾,公眾,2,9,gōngzhòng
馬克,馬克,2,4,mǎkè
年輕,年輕,2,8,niánqīng
之中,之中,2,8,zhīzhōng
女士,女士,2,5,nǚshì
嗎,嗎,1,2,ma
描述,描述,2,7,miáoshù
俄羅斯,俄羅斯,3,6,éluósī
非洲,非洲,2,7,fēizhōu
板塊,板塊,2,7,bǎnkuài
找到,找到,2,7,zhǎodào
新聞,新聞,2,6,xīnwén
完成,完成,2,8,wánchéng
島嶼,島嶼,2,5,dǎoyǔ
人類,人類,2,6,rénlèi
那麼,那麼,2,4,nàme
語言,語言,2,5,yǔyán
腫瘤,腫瘤,2,8,zhǒngliú
沙漠,沙漠,2,5,shāmò
文化,文化,2,6,wénhuà
聖,聖,1,5,shèng
服務,服務,2,4,fúwù
部,部,1,2,bù
一世,一世,2,5,yīshì
北,北,1,3,běi
冠軍,冠軍,2,7,guānjūn
利用,利用,2,6,lìyòng
文明,文明,2,7,wénmíng
公園,公園,2,8,gōngyuán
清朝,清朝,2,8,qīngcháo
照片,照片,2,8,zhàopiān
強調,強調,2,9,qiángdiào
取得,取得,2,4,qǔde
受到,受到,2,7,shòudào
意義,意義,2,4,yìyì
權利,權利,2,6,quánlì
聯盟,聯盟,2,8,liánméng
戰役,戰役,2,6,zhànyì
藝術家,藝術家,3,8,yìshùjiā
集,集,1,2,jí
誰,誰,1,4,shuí
扮演,扮演,2,6,bànyǎn
人士,人士,2,6,rénshì
變得,變得,2,6,biàndé
仍,仍,1,4,réng
表達,表達,2,6,biǎodá
東西,東西,2,6,dōngxī
雖然,雖然,2,6,suīrán
總,總,1,4,zǒng
候選人,候選人,3,10,hòuxuǎnrén
商業,商業,2,7,shāngyè
權力,權力,2,6,quánlì
和平,和平,2,6,hépíng
會議,會議,2,5,huìyì
專輯,專輯,2,7,zhuānjí
初,初,1,3,chū
缺少,缺少,2,7,quēshǎo
女,女,1,2,nǚ
智能,智能,2,7,zhìnéng
簽訂,簽訂,2,8,qiāndìng
修道院,修道院,3,10,xiūdàoyuàn
分別,分別,2,6,fēnbié
羅娜,羅娜,2,5,luónà
對於,對於,2,5,duìyú
釙,釙,1,2,pò
協會,協會,2,6,xiéhuì
值得,值得,2,5,zhíde
媒體,媒體,2,5,méitǐ
建,建,1,4,jiàn
未來,未來,2,6,wèilái
俄國,俄國,2,4,éguó
多數,多數,2,6,duōshù
展示,展示,2,7,zhǎnshì
阿爾巴尼亞,阿爾巴尼亞,5,9,āěrbāníyà
過去,過去,2,5,guòqù
危機,危機,2,5,wēijī
參加,參加,2,6,cānjiā
證明,證明,2,9,zhèngmíng
先生,先生,2,9,xiānshēng
保持,保持,2,6,bǎochí
分析,分析,2,5,fēnxī
表明,表明,2,8,biǎomíng
不得,不得,2,4,bùdé
作用,作用,2,7,zuòyòng
允許,允許,2,5,yǔnxǔ
歐洲人,歐洲人,3,9,ōuzhōurén
據,據,1,2,jù
逐漸,逐漸,2,7,zhújiàn
產品,產品,2,7,chǎnpǐn
後者,後者,2,6,hòuzhě
緩解,緩解,2,7,huǎnjiě
除,除,1,3,chú
您,您,1,3,nín
仍然,仍然,2,7,réngrán
投資人,投資人,3,8,tóuzīrén
來到,來到,2,6,láidào
冬季,冬季,2,6,dōngjì
東,東,1,4,dōng
喀麥隆,喀麥隆,3,9,kāmàilóng
方式,方式,2,7,fāngshì
缺乏,缺乏,2,5,quēfá
補充,補充,2,7,bǔchōng
尋找,尋找,2,7,xúnzhǎo
報導,報導,2,6,bàodǎo
印度,印度,2,5,yìndù
兒童,兒童,2,6,értóng
米,米,1,2,mǐ
用戶,用戶,2,6,yònghù
樂隊,樂隊,2,5,lèduì
夏季,夏季,2,5,xiàjì
電子,電子,2,6,diànzi
半島,半島,2,6,bàndǎo
容易,容易,2,6,róngyì
移民,移民,2,5,yímín
曾經,曾經,2,8,céngjīng
摩拉維亞,摩拉維亞,4,9,mólāwéiyà
標記,標記,2,6,biāojì
廣告,廣告,2,8,guǎnggào
奧斯曼,奧斯曼,3,7,àosīmàn
覺得,覺得,2,5,juédé
舉辦,舉辦,2,5,jǔbàn
日期,日期,2,4,rìqī
前往,前往,2,8,qiánwǎng
九,九,1,3,jiǔ
指控,指控,2,7,zhǐkòng
反對,反對,2,6,fǎnduì
建造,建造,2,7,jiànzào
夏天,夏天,2,7,xiàtiān
大概,大概,2,5,dàgài
女兒,女兒,2,4,nǚér
上漲,上漲,2,10,shàngzhǎng
農曆,農曆,2,6,nónglì
星期,星期,2,6,xīngqī
發言人,發言人,3,8,fāyánrén
記錄,記錄,2,4,jìlù
封,封,1,4,fēng
拉費蒂,拉費蒂,3,7,lāfèidì
更加,更加,2,7,gèngjiā
作家,作家,2,6,zuòjiā
到達,到達,2,5,dàodá
太,太,1,3,tài
里,里,1,2,lǐ
中期,中期,2,7,zhōngqī
棲息地,棲息地,3,6,qīxīdì
企業,企業,2,4,qǐyè
委員會,委員會,3,10,wěiyuánhuì
基金,基金,2,5,jījīn
儘管,儘管,2,7,jǐnguǎn
蒙古,蒙古,2,6,ménggǔ
天氣,天氣,2,6,tiānqì
壓力,壓力,2,4,yālì
製作,製作,2,6,zhìzuò
保證,保證,2,8,bǎozhèng
員工,員工,2,8,yuángōng
人數,人數,2,6,rénshù
共和國,共和國,3,9,gònghéguó
當地,當地,2,6,dāngdì
單曲,單曲,2,5,dānqū
需求,需求,2,5,xūqiú
安大略省,安大略省,4,12,āndàlüèshěng
地位,地位,2,5,dìwèi
泰國,泰國,2,6,tàiguó
海洋,海洋,2,7,hǎiyáng
月份,月份,2,6,yuèfèn
水,水,1,4,shuǐ
對象,對象,2,8,duìxiàng
小型,小型,2,8,xiǎoxíng
丹內維爾克,丹內維爾克,5,13,dānnèiwéiěrkè
少,少,1,4,shǎo
破壞,破壞,2,6,pòhuài
唐納德,唐納德,3,8,tángnàdé
生,生,1,5,shēng
女人,女人,2,5,nǚrén
殖民,殖民,2,6,zhímín
唱片,唱片,2,9,chàngpiàn
首,首,1,4,shǒu
聯繫,聯繫,2,6,liánxì
僅,僅,1,3,jǐn
未能,未能,2,7,wèinéng
國民,國民,2,6,guómín
機構,機構,2,5,jīgòu
首次,首次,2,6,shǒucì
中心,中心,2,8,zhōngxīn
西格爾,西格爾,3,6,xīgéěr
警告,警告,2,7,jǐnggào
面對,面對,2,7,miànduì
者,者,1,3,zhě
三世,三世,2,6,sānshì
八,八,1,2,bā
警察,警察,2,7,jǐngchá
運河,運河,2,5,yùnhé
打,打,1,2,dǎ
時任,時任,2,6,shírèn
穿過,穿過,2,8,chuānguò
返回,返回,2,6,fǎnhuí
那樣,那樣,2,6,nàyàng
公爵,公爵,2,7,gōngjué
克林頓,克林頓,3,8,kèlíndùn
怎麼,怎麼,2,5,zěnme
過程,過程,2,8,guòchéng
教堂,教堂,2,8,jiàotáng
想法,想法,2,7,xiǎngfǎ
部長,部長,2,7,bùzhǎng
積極,積極,2,4,jījí
地球,地球,2,5,dìqiú
如何,如何,2,4,rúhé
同盟,同盟,2,8,tóngméng
上升,上升,2,10,shàngshēng
征服,征服,2,7,zhēngfú
海岸,海岸,2,5,hǎiàn
此次,此次,2,4,cǐcì
內容,內容,2,7,nèiróng
電視,電視,2,7,diànshì
機率,機率,2,4,jīlǜ
較低,較低,2,6,jiàodī
批評,批評,2,6,pīpíng
從未,從未,2,7,cóngwèi
軍事,軍事,2,6,jūnshì
得到,得到,2,5,dédào
身體,身體,2,6,shēntǐ
去年,去年,2,6,qùnián
土耳其,土耳其,3,6,tǔěrqí
處理,處理,2,5,chùlǐ
以外,以外,2,5,yǐwài
植物,植物,2,5,zhíwù
即,即,1,2,jí
科學,科學,2,5,kēxué
步,步,1,2,bù
贏得,贏得,2,6,yíngdé
藝術,藝術,2,5,yìshù
消息,消息,2,6,xiāoxī
文學,文學,2,6,wénxué
抵抗,抵抗,2,6,dǐkàng
少數,少數,2,7,shǎoshù
相似,相似,2,7,xiāngsì
外,外,1,3,wài
交通,交通,2,8,jiāotōng
敵人,敵人,2,5,dírén
最新,最新,2,6,zuìxīn
也許,也許,2,4,yěxǔ
開放,開放,2,7,kāifàng
僅僅,僅僅,2,6,jǐnjǐn
更好,更好,2,7,gènghǎo
項目,項目,2,7,xiàngmù
關注,關注,2,7,guānzhù
鴉片,鴉片,2,6,yāpiàn
遊行,遊行,2,7,yóuxíng
高爾夫,高爾夫,3,7,gāoěrfū
難,難,1,3,nán
當天,當天,2,8,dāngtiān
比如,比如,2,4,bǐrú
競爭,競爭,2,9,jìngzhēng
動物,動物,2,6,dòngwù
追溯,追溯,2,6,zhuīsù
根本,根本,2,6,gēnběn
顏色,顏色,2,5,yánsè
來源,來源,2,7,láiyuán
承認,承認,2,8,chéngrèn
生命,生命,2,9,shēngmìng
私人,私人,2,5,sīrén
造成,造成,2,8,zàochéng
男性,男性,2,7,nánxìng
出來,出來,2,6,chūlái
倫敦,倫敦,2,6,lúndūn
康復,康復,2,6,kāngfù
團隊,團隊,2,7,tuánduì
巨大,巨大,2,4,jùdà
路途,路途,2,4,lùtú
面臨,面臨,2,7,miànlín
市民,市民,2,6,shìmín
糟糕,糟糕,2,6,zāogāo
選民,選民,2,7,xuǎnmín
新幾內亞,新幾內亞,4,10,xīnjǐnèiyà
課程,課程,2,7,kèchéng
六十,六十,2,6,liùshí
運用,運用,2,7,yùnyòng
部門,部門,2,5,bùmén
領導,領導,2,7,lǐngdǎo
政權,政權,2,9,zhèngquán
人物,人物,2,5,rénwù
獎金,獎金,2,8,jiǎngjīn
農業,農業,2,6,nóngyè
將軍,將軍,2,8,jiāngjūn
震驚,震驚,2,8,zhènjīng
歐盟,歐盟,2,6,ōuméng
用地,用地,2,6,yòngdì
同意,同意,2,6,tóngyì
理解,理解,2,5,lǐjiě
女性,女性,2,6,nǚxìng
城鎮化,城鎮化,3,12,chéngzhènhuà
解決,解決,2,6,jiějué
瓦倫蒂諾,瓦倫蒂諾,4,10,wǎlúndìnuò
巴布亞,巴布亞,3,6,bābùyà
競選,競選,2,8,jìngxuǎn
績效,績效,2,6,jīxiào
一定,一定,2,6,yídìng
地表,地表,2,6,dìbiǎo
黃金,黃金,2,8,huángjīn
每升,每升,2,8,měishēng
條件,條件,2,8,tiáojiàn
三島,三島,2,6,sāndǎo
擔憂,擔憂,2,6,dānyōu
產業,產業,2,6,chǎnyè
原住民,原住民,3,10,yuánzhùmín
乾旱,乾旱,2,7,qiánhàn
開展,開展,2,7,kāizhǎn
東部,東部,2,6,dōngbù
公投,公投,2,7,gōngtóu
定居,定居,2,6,dìngjū
採訪,採訪,2,7,cǎifǎng
瑞士,瑞士,2,6,ruìshì
製造,製造,2,6,zhìzào
一般,一般,2,5,yìbān
爆發,爆發,2,5,bàofā
慶典,慶典,2,8,qìngdiǎn
工資,工資,2,6,gōngzī
反應,反應,2,7,fǎnyīng
布里斯班,布里斯班,4,9,bùlǐsībān
節目,節目,2,5,jiémù
兄弟們,兄弟們,3,10,xiōngdìmen
般,般,1,3,bān
措施,措施,2,6,cuòshī
西部,西部,2,4,xībù
言論,言論,2,6,yánlùn
不要,不要,2,5,búyào
民主黨,民主黨,3,10,mínzhǔdǎng
之下,之下,2,6,zhīxià
轉變,轉變,2,9,zhuǎnbiàn
鐵路,鐵路,2,5,tiělù
難以置信,難以置信,4,11,nányǐzhìxìn
布朗特,布朗特,3,8,bùlǎngtè
截,截,1,3,jié
當作,當作,2,7,dāngzuò
阿爾卑斯,阿爾卑斯,4,8,āěrbēisī
遊戲,遊戲,2,5,yóuxì
引發,引發,2,5,yǐnfā
學者,學者,2,6,xuézhě
靠,靠,1,3,kào
殺死,殺死,2,5,shāsǐ
長,長,1,5,zhǎng
自治,自治,2,5,zìzhì
激增,激增,2,6,jīzēng
高加索,高加索,3,9,gāojiāsuǒ
成立,成立,2,7,chénglì
某,某,1,3,mǒu
票,票,1,4,piào
對待,對待,2,6,duìdài
領先,領先,2,8,lǐngxiān
表現,表現,2,8,biǎoxiàn
條,條,1,4,tiáo
今年,今年,2,7,jīnnián
留下,留下,2,6,liúxià
投降,投降,2,8,tóuxiáng
釋放,釋放,2,7,shìfàng
有些,有些,2,6,yǒuxiē
